Width,Register Renaming,Memory Renaming,Instructions,Cycles,IPC
1,true,false,6578,19734,0.3333333333333333
1,false,false,6578,19734,0.3333333333333333
2,true,false,6578,9868,0.6665991082286178
2,false,false,6578,9868,0.6665991082286178
4,true,false,6578,5187,1.268170426065163
4,false,false,6578,5270,1.2481973434535105
8,true,false,6578,3113,2.1130742049469964
8,false,false,6578,3488,1.885894495412844
16,true,false,6578,2298,2.8624891209747605
16,false,false,6578,3073,2.1405792385291247
32,true,false,6578,2117,3.107227208313651
32,false,false,6578,3036,2.1666666666666665
64,true,false,6578,2109,3.119013750592698
64,false,false,6578,3036,2.1666666666666665
128,true,false,6578,2109,3.119013750592698
128,false,false,6578,3036,2.1666666666666665
512,true,false,6578,2109,3.119013750592698
512,false,false,6578,3036,2.1666666666666665
1024,true,false,6578,2109,3.119013750592698
1024,false,false,6578,3036,2.1666666666666665
6578,true,false,6578,2109,3.119013750592698
6578,false,false,6578,3036,2.1666666666666665
